reset,duration,log10_resp,timestamp,multiStepPredictions.actual,multiStepPredictions.1,multiStepBucketLikelihoods.1,multiStepBestPredictions.actual,multiStepBestPredictions.1,anomalyScore,anomalyLabel,multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=log10_resp,multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=log10_resp
int,string,string,string,string,string,string,string,string,string,string,float,float
R,,,,,,,,,,,,
0,252,2.675778342,2015-11-04 11:25:00,2.675778342,{3.212999766162837: 0.0065306948027755597	 2.7446066905459077: 0.36738972584273644	 2.6353664590040484: 0.1386431365791552	 6.0010328738539584: 0.0029958725834745136	 3.3344978361146174: 0.1498005772203439	 2.9598740623445603: 0.31695995872447541	 3.5114264794563015: 0.017679401225310729},{0: 0.1386431365791552	 1: 0.36738972584273644	 2: 0.31695995872447541	 3: 0.0065306948027755597	 4: 0.1498005772203439	 5: 0.017679401225310729	 17: 0.0029958725834745136},2.675778342,2.74460669055,0.0,[],0.204347077665,5.98821997982
0,265,2.745855195,2015-11-04 11:25:30,2.745855195,{3.212999766162837: 0.0064079249009298981	 2.6353664590040484: 0.13041781703921951	 6.0010328738539584: 0.0028910275558837514	 3.3344978361146174: 0.14331677907989354	 2.9598740623445603: 0.29703503206283721	 3.5114264794563015: 0.017049942711986156	 2.7670878641821353: 0.40288086841160825},{0: 0.13041781703921951	 1: 0.40288086841160825	 2: 0.29703503206283721	 3: 0.0064079249009298981	 4: 0.14331677907989354	 5: 0.017049942711986156	 17: 0.0028910275558837514},2.745855195,2.76708786418,0.0,[],0.204325814066,5.98864483601
0,244,3.298853076,2015-11-04 11:26:00,3.298853076,{3.212999766162837: 0.0057098921116614902	 2.6353664590040484: 0.11432543057550273	 6.0010328738539584: 0.0025231252320532171	 3.3344978361146174: 0.12600691938344494	 2.9598740623445603: 0.26054504691018221	 3.5114264794563015: 0.015009939341242038	 2.7396950075274944: 0.47587912020832163},{0: 0.11432543057550273	 1: 0.47587912020832163	 2: 0.26054504691018221	 3: 0.0057098921116614902	 4: 0.12600691938344494	 5: 0.015009939341242038	 17: 0.0025231252320532171},3.298853076,2.73969500753,0.275,[],0.204813222691,6.00289788423
0,260,2.63447727,2015-11-04 11:26:30,2.63447727,{3.212999766162837: 0.029889142205172949	 2.741543063769246: 0.30223998749408698	 2.6353664590040484: 0.037162776602112146	 6.0010328738539584: 0.0080007317529802342	 3.3344978361146174: 0.34886450084790632	 2.9598740623445603: 0.20438094269436111	 3.5114264794563015: 0.069454195310519801},{0: 0.037162776602112146	 1: 0.30223998749408698	 2: 0.20438094269436111	 3: 0.029889142205172949	 4: 0.34886450084790632	 5: 0.069454195310519801	 17: 0.0080007317529802342},2.63447727,3.33449783611,0.325,[],0.205121355251,6.0137936781
0,350,3.036229544,2015-11-04 11:27:00,3.036229544,{3.212999766162837: 0.0018423758944534194	 2.741543063769246: 0.46864214450238328	 2.6353664590040484: 0.14685504818313083	 6.0010328738539584: 0.0009642738609002533	 3.323804408080232: 0.089366177948329795	 3.5114264794563015: 0.010722463371932504	 2.9598740623445603: 0.28160729834174536},{0: 0.14685504818313083	 1: 0.46864214450238328	 2: 0.28160729834174536	 3: 0.0018423758944534194	 4: 0.089366177948329795	 5: 0.010722463371932504	 17: 0.0009642738609002533},3.036229544,2.74154306377,0.15,[],0.205162509982,6.01543640083
0,373,2.598790507,2015-11-04 11:27:30,2.598790507,{3.212999766162837: 0.0058756205500586174	 2.741543063769246: 0.43322508392588555	 6.0010328738539584: 0.0025481341271587185	 2.9598740623445603: 0.21742407883750703	 3.5114264794563015: 0.012115693184810837	 3.323804408080232: 0.18973425294933957	 2.635099702302834: 0.13907674027391326},{0: 0.13907674027391326	 1: 0.43322508392588555	 2: 0.21742407883750703	 3: 0.0058756205500586174	 4: 0.18973425294933957	 5: 0.012115693184810837	 17: 0.0025481341271587185},2.598790507,2.74154306377,0.0,[],0.205289887502,6.02042631117
0,278,2.683047038,2015-11-04 11:28:00,2.683047038,{3.212999766162837: 0.013493685961492469	 2.741543063769246: 0.3394210663806087	 2.982780706841192: 0.36863870980818475	 6.0010328738539584: 0.0049935061622056005	 3.323804408080232: 0.13208016394624589	 3.5114264794563015: 0.024391271882276973	 2.635099702302834: 0.11698141332124784},{0: 0.11698141332124784	 1: 0.3394210663806087	 2: 0.36863870980818475	 3: 0.013493685961492469	 4: 0.13208016394624589	 5: 0.024391271882276973	 17: 0.0049935061622056005},2.683047038,2.98278070684,0.0,[],0.205504107495,6.02803773826
0,397,2.82020146,2015-11-04 11:28:30,2.82020146,{3.212999766162837: 0.0038299309545239252	 2.741543063769246: 0.39688963310366965	 2.982780706841192: 0.21440063154369357	 6.0010328738539584: 0.0015940857424094855	 3.323804408080232: 0.17229641037378396	 3.5114264794563015: 0.0097055194096443941	 2.6242069437119837: 0.20128343695748463},{0: 0.20128343695748463	 1: 0.39688963310366965	 2: 0.21440063154369357	 3: 0.0038299309545239252	 4: 0.17229641037378396	 5: 0.0097055194096443941	 17: 0.0015940857424094855},2.82020146,2.74154306377,0.0,[],0.205578518848,6.03107107022
0,430,2.944975908,2015-11-04 11:29:00,2.944975908,{2.723994256038472: 0.42523487153485323	 3.212999766162837: 0.0036379230430802953	 2.982780706841192: 0.20445630699878922	 6.0010328738539584: 0.001489598846663032	 3.323804408080232: 0.16435605958241858	 3.5114264794563015: 0.0090305964110023989	 2.6242069437119837: 0.19179429166840253},{0: 0.19179429166840253	 1: 0.42523487153485323	 2: 0.20445630699878922	 3: 0.0036379230430802953	 4: 0.16435605958241858	 5: 0.0090305964110023989	 17: 0.001489598846663032},2.944975908,2.72399425604,0.025,[],0.205755327888,6.03680295617
0,247,2.737192643,2015-11-04 11:29:30,2.737192643,{3.212999766162837: 0.0044004611557457622	 2.982780706841192: 0.19307460788777123	 6.0010328738539584: 0.0018843186726884842	 2.6242069437119837: 0.19776972503667986	 3.323804408080232: 0.14241814816223211	 3.5114264794563015: 0.0090582859990130608	 2.7528564172269303: 0.45139413924853278},{0: 0.19776972503667986	 1: 0.45139413924853278	 2: 0.19307460788777123	 3: 0.0044004611557457622	 4: 0.14241814816223211	 5: 0.0090582859990130608	 17: 0.0018843186726884842},2.737192643,2.75285641723,0.0,[],0.202520548017,5.94854725834
